IBERT QC BER Log
Date: 2025-05-01 18:04:45

Serial,Link,BER
000043A,Quad_131/MGT_X0Y18/TX->Quad_131/MGT_X0Y18/RX,2.9037685805542893e-10
000043A,Quad_131/MGT_X0Y16/TX->Quad_131/MGT_X0Y16/RX,1.0240323926444906e-09
000043A,Quad_130/MGT_X0Y14/TX->Quad_130/MGT_X0Y14/RX,1.9863997387684755e-09
000025A,Quad_131/MGT_X0Y18/TX->Quad_131/MGT_X0Y18/RX,5.0229698707951537e-08
000025A,Quad_131/MGT_X0Y16/TX->Quad_131/MGT_X0Y16/RX,2.1678345619992866e-07
000025A,Quad_130/MGT_X0Y14/TX->Quad_130/MGT_X0Y14/RX,5.4414291581073095e-07
00021A,Quad_131/MGT_X0Y18/TX->Quad_131/MGT_X0Y18/RX,7.3364962339417156e-10
00021A,Quad_131/MGT_X0Y16/TX->Quad_131/MGT_X0Y16/RX,6.418136769732602e-12
00021A,Quad_130/MGT_X0Y14/TX->Quad_130/MGT_X0Y14/RX,4.7644285078181691e-12
000047A,Quad_131/MGT_X0Y18/TX->Quad_131/MGT_X0Y18/RX,2.2803413937399563e-06
000047A,Quad_131/MGT_X0Y16/TX->Quad_131/MGT_X0Y16/RX,6.6231592702126875e-10
000047A,Quad_130/MGT_X0Y14/TX->Quad_130/MGT_X0Y14/RX,2.8169100114888474e-07
